City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,san juan de miraflores,-12.1629,-76.9635,63.18,83,93,9.4,PE,1723052888
200,chake chake,-5.2459,39.7666,78.75,83,75,9.22,TZ,1723052889
201,broome,42.2506,-75.833,72.43,77,100,6.91,US,1723052891
202,berezovyy,51.6667,135.7,65.03,98,100,2.77,RU,1723052892
203,tokar,18.4254,37.729,83.44,62,100,20.11,SD,1723052893
204,toliara,-23.35,43.6667,72.05,73,0,7.45,MG,1723052894
205,onega,63.9061,38.1404,56.7,66,27,6.73,RU,1723052896
206,grootfontein,-19.5667,18.1167,71.17,17,0,3.44,NA,1723052897
207,oriximina,-1.7656,-55.8661,94.12,37,14,5.39,BR,1723052898
208,san patricio,28.017,-97.5169,96.67,38,0,2.01,US,1723052899
209,brigantine,39.4101,-74.3646,77.2,93,100,9.22,US,1723052901
210,wynyard,-41.0,145.7167,50.49,92,86,6.73,AU,1723052902
211,bratsk,56.1325,101.6142,59.49,93,100,5.14,RU,1723052904
212,xiaoweizhai,26.1903,107.5125,70.79,98,4,4.12,CN,1723052905
213,anchau,10.9597,8.3916,71.37,91,95,7.07,NG,1723052906
214,tual,-5.6667,132.75,77.72,83,99,19.89,ID,1723052907
215,badger,64.8,-147.5333,69.82,63,75,4.61,US,1723052908
216,nizhnesortymskiy,62.4397,71.7603,53.76,62,76,13.76,RU,1723052910
217,kourou,5.1552,-52.6478,89.65,65,24,9.33,GF,1723052912
218,nurlat,54.4277,50.8051,64.17,78,75,1.34,RU,1723052913
219,slyudyanka,51.6594,103.7061,57.43,93,37,4.79,RU,1723052915
220,singkil,-7.9855,111.4161,75.02,89,12,4.27,ID,1723052916
221,kurchatov,51.6601,35.6521,71.42,78,94,8.28,RU,1723052917
222,keflavik,64.0049,-22.5624,60.71,72,0,11.5,IS,1723052918
223,caleta de carquin,-11.0925,-77.6267,66.0,75,64,11.7,PE,1723052920
224,mugia,43.1041,-9.2179,74.16,77,5,21.63,ES,1723052921
225,booue,-0.0921,11.9385,82.85,53,96,7.09,GA,1723052922
226,nova vicosa,-17.8919,-39.3719,76.15,61,100,6.02,BR,1723052923
227,uturoa,-16.7333,-151.4333,78.66,79,7,10.78,PF,1723052924
228,saint-philippe,-21.3585,55.7679,67.59,73,2,6.33,RE,1723052925
229,rawai,7.7797,98.3253,78.91,73,100,5.95,TH,1723052926
230,monrovia,6.3005,-10.7969,78.57,76,96,10.92,LR,1723052928
231,weno,7.4515,151.8468,82.35,78,100,4.61,FM,1723052929
232,worthing,50.8145,-0.3713,66.88,74,20,13.8,GB,1723052932
233,chhor,25.5167,69.7667,85.15,66,99,18.39,PK,1723052933
234,udachny,66.4167,112.4,55.04,54,78,7.94,RU,1723052935
235,mili,6.0815,171.735,78.12,86,100,14.12,MH,1723052936
236,howrah,22.5892,88.3103,82.4,89,40,4.61,IN,1723052937
237,ushuaia,-54.8,-68.3,35.26,64,0,2.3,AR,1723052938
238,mount isa,-20.7333,139.5,51.57,46,0,8.05,AU,1723052939
239,kuragino,53.8975,92.6725,56.84,92,76,4.05,RU,1723052940
240,lebu,-37.6167,-73.65,49.19,62,0,12.59,CL,1723052831
241,koungou,-12.7336,45.2042,74.91,83,0,2.3,YT,1723052942
242,togur,58.3631,82.8265,55.09,92,72,5.53,RU,1723052944
243,pisco,-13.7,-76.2167,66.25,63,75,10.36,PE,1723052945
244,labytnangi,66.6572,66.4183,47.75,79,16,5.1,RU,1723052946
245,gadzhiyevo,69.2551,33.3362,60.96,59,7,3.0,RU,1723052947
246,ugine,45.7508,6.4161,81.93,86,1,2.39,FR,1723052948
247,redding,40.5865,-122.3917,96.91,20,0,3.44,US,1723052829
248,lodwar,3.1191,35.5973,89.15,38,79,0.16,KE,1723052951
249,maragogi,-9.0122,-35.2225,77.7,66,73,8.99,BR,1723052676
250,porto murtinho,-21.6989,-57.8825,74.26,62,100,9.04,BR,1723052953
251,minas de marcona,-15.2119,-75.1103,54.48,78,85,24.34,PE,1723052954
252,changleng,28.7,115.8167,87.1,62,0,4.76,CN,1723052956
253,alesund,62.4723,6.1549,63.09,88,75,2.3,NO,1723052957
254,vilyuchinsk,52.9306,158.4028,57.47,90,91,7.02,RU,1723052958
255,ceeldheer,3.8488,47.1806,76.53,84,91,17.07,SO,1723052959
256,esfarayen,37.0765,57.5101,83.86,27,0,3.58,IR,1723052961
257,novyy urgal,51.0736,132.5642,62.85,82,100,1.03,RU,1723052962
258,tarinkot,32.6268,65.8733,86.9,18,0,2.75,AF,1723052963
259,kill devil hills,36.0307,-75.676,76.98,97,100,5.75,US,1723052738
260,juan griego,11.0817,-63.9655,96.93,52,39,17.27,VE,1723052966
261,isla vista,34.4133,-119.861,89.91,52,12,7.74,US,1723052968
262,tregunc,47.85,-3.85,67.86,68,99,9.91,FR,1723052969
263,elmali,36.7358,29.9177,79.12,52,78,3.98,TR,1723052970
264,ust-tsilma,65.441,52.1498,55.74,66,6,4.21,RU,1723052972
265,tolanaro,-25.0319,46.9987,69.87,78,75,16.11,MG,1723052973
266,ipira,-12.1583,-39.7372,80.2,51,93,9.8,BR,1723052974
267,los andes,-32.8337,-70.5983,47.59,73,18,3.18,CL,1723052975
268,mancio lima,-7.6142,-72.8958,87.87,62,75,4.61,BR,1723052976
269,danville,36.586,-79.395,83.43,77,100,11.5,US,1723052867
270,scottburgh,-30.2867,30.7532,66.52,87,15,11.05,ZA,1723052978
271,nemuro,43.3236,145.575,62.49,100,100,6.93,JP,1723052980
272,touros,-5.1989,-35.4608,81.16,68,35,19.51,BR,1723052981
273,helena valley west central,46.6629,-112.0604,66.72,72,100,4.61,US,1723052982
274,gobabis,-22.45,18.9667,67.33,15,0,9.19,NA,1723052983
275,puerto ayora,-0.7393,-90.3518,75.16,88,65,8.01,EC,1723052984
276,carnarvon,-24.8667,113.6333,65.43,77,16,9.33,AU,1723052985
277,tanjung pandan,-2.75,107.65,76.71,94,100,6.62,ID,1723052986
278,saint-jean-de-monts,46.7833,-2.0667,66.34,70,74,10.8,FR,1723052988
279,rikaze,29.25,88.8833,57.65,55,94,5.32,CN,1723052989
280,portland,45.5234,-122.6762,72.99,66,0,4.0,US,1723052990
281,talnakh,69.4865,88.3972,50.86,63,0,13.22,RU,1723052991
282,la sarre,48.8002,-79.1996,70.27,41,55,7.11,CA,1723052718
283,olesno,50.877,18.4209,72.25,54,93,2.93,PL,1723052993
284,holualoa,19.6228,-155.9522,74.88,86,40,3.44,US,1723052994
285,prado,-17.3411,-39.2208,76.93,59,46,7.09,BR,1723052996
286,lorengau,-2.0226,147.2712,80.87,81,37,9.51,PG,1723052997
287,puerto baquerizo moreno,-0.9,-89.6,70.79,94,75,12.66,EC,1723052834
288,port lincoln,-34.7333,135.8667,56.68,56,80,22.17,AU,1723052999
289,ciudad lazaro cardenas,17.9583,-102.2,87.91,59,100,9.01,MX,1723053000
290,hadibu,12.65,54.0333,78.76,81,21,18.25,YE,1723053001
291,las khorey,11.1595,48.1967,89.71,58,39,5.1,SO,1723053002
292,seybaplaya,19.65,-90.6667,88.7,56,27,9.42,MX,1723053003
293,machico,32.7,-16.7667,81.72,71,20,14.97,PT,1723053005
294,port macquarie,-31.4333,152.9167,48.88,79,81,3.98,AU,1723053006
295,hanting,36.7708,119.2108,78.24,89,100,2.46,CN,1723053007
296,smithers,54.7804,-127.1743,66.52,45,0,2.3,CA,1723053008
297,coquimbo,-29.9533,-71.3436,56.93,71,75,8.05,CL,1723052989
298,kapa'a,22.0752,-159.319,79.12,80,0,12.66,US,1723053012
299,nova sintra,14.8667,-24.7167,78.98,81,54,12.82,CV,1723053013
300,mezhdurechensk,53.6942,88.0603,58.6,98,78,3.13,RU,1723053014
301,waingapu,-9.6567,120.2641,74.75,84,2,10.4,ID,1723053015
302,sinabang,2.4803,96.3801,80.06,83,98,8.9,ID,1723053016
303,aral,40.5156,81.2636,80.1,45,0,6.08,CN,1723053017
304,gaspe,48.8334,-64.4819,67.91,59,75,8.05,CA,1723052901
305,taunggyi,20.7833,97.0333,65.07,98,100,3.71,MM,1723053020
306,cadale,2.7603,46.3222,77.47,82,83,17.9,SO,1723053021
307,yelenendorf,40.5869,46.3158,80.11,58,75,9.22,AZ,1723053022
308,bandarbeyla,9.4942,50.8122,77.61,86,2,31.85,SO,1723053023
309,kokoda,-8.8785,147.7407,74.73,99,99,1.5,PG,1723053024
310,sarangani,5.4033,125.4636,81.82,81,100,9.73,PH,1723053025
311,geraldton,-28.7667,114.6,55.81,94,100,5.75,AU,1723053026
312,usogorsk,63.4106,48.6872,55.71,61,7,4.09,RU,1723053028
313,soio,-6.1349,12.3689,70.88,82,92,7.56,AO,1723053029
314,tapon,10.0631,123.4453,80.42,83,92,3.89,PH,1723053030
315,novodvinsk,64.4165,40.8122,60.55,63,52,4.59,RU,1723053031
316,sitka,57.0531,-135.33,55.29,100,100,0.0,US,1723053032
317,pali,25.7667,73.3333,81.14,76,98,13.18,IN,1723053033
318,yuzhno-kurilsk,44.0306,145.8556,63.7,99,100,5.32,RU,1723053034
319,port augusta,-32.5,137.7667,51.15,58,91,13.51,AU,1723053036
320,beyneu,45.3167,55.2,93.83,27,38,13.4,KZ,1723053037
321,grindsted,55.754,8.9123,68.34,73,75,10.36,DK,1723053038
322,vernon,50.2581,-119.2691,79.61,40,1,4.0,CA,1723052446
323,greenville,35.6127,-77.3663,78.96,98,100,8.05,US,1723052571
324,tura,25.5198,90.2201,75.4,97,67,7.16,IN,1723053041
325,teguise,29.0605,-13.564,79.02,51,20,17.27,ES,1723053043
326,sakakah,29.9697,40.2064,94.57,11,0,10.31,SA,1723053044
327,kenora,49.8167,-94.4337,65.37,82,100,13.8,CA,1723053045
328,longyearbyen,78.2186,15.6401,51.64,93,100,4.61,SJ,1723053046
329,tindouf,27.6711,-8.1474,113.45,7,40,4.61,DZ,1723053048
330,iskilip,40.7353,34.4739,70.25,64,41,7.83,TR,1723053049
331,faya-largeau,17.9257,19.1043,98.22,31,95,10.04,TD,1723053051
332,kruisfontein,-34.0033,24.7314,54.88,51,67,5.99,ZA,1723052822
333,alo,6.5486,4.2686,77.56,81,94,9.4,NG,1723053054
334,reggane,26.7158,0.1714,109.98,8,1,12.55,DZ,1723053055
335,agadez,19.75,10.25,99.73,16,99,8.3,NE,1723053056
336,ola,59.5833,151.2833,52.25,90,94,3.36,RU,1723053057
337,iskateley,67.6803,53.1512,45.48,86,6,8.77,RU,1723053058
338,januaria,-15.4833,-44.3667,82.36,40,45,5.28,BR,1723053060
339,tshikapa,-6.4167,20.8,85.03,16,68,4.25,CD,1723053062
340,chonchi,-42.6128,-73.8092,52.12,69,12,2.48,CL,1723053063
341,qamdo,31.1667,97.2333,50.67,68,73,5.82,CN,1723053064
342,lae,-6.7221,146.9847,73.94,87,98,3.44,PG,1723053065
343,newman,37.3138,-121.0208,89.94,10,0,3.06,US,1723053066
344,xinqing,48.2333,129.5,63.64,98,38,2.91,CN,1723053067
345,lanxi,29.2195,119.477,76.15,89,100,0.43,CN,1723053068
346,atafu village,-8.5421,-172.5159,83.03,68,100,20.56,TK,1723053070
347,ban su-ngai pa di,6.0724,101.8717,76.59,97,74,1.54,TH,1723053071
348,mahalapye,-23.1041,26.8142,66.42,33,0,7.45,BW,1723053072
349,dunedin,-45.8742,170.5036,46.85,75,100,3.69,NZ,1723052788
350,sergeyevka,53.88,67.4158,66.61,71,95,5.68,KZ,1723053074
351,puerto madryn,-42.7692,-65.0385,45.81,51,72,17.98,AR,1723053075
352,leitchfield,37.48,-86.2939,81.25,94,98,6.64,US,1723053076
353,cabedelo,-6.9811,-34.8339,83.07,73,67,17.25,BR,1723053078
354,xai-xai,-25.0519,33.6442,64.44,76,0,8.5,MZ,1723053079
355,tukrah,32.5341,20.5791,82.33,66,0,11.21,LY,1723053080
356,tiassale,5.8983,-4.8283,76.95,74,100,5.03,CI,1723053081
357,la'ie,21.6477,-157.9253,80.06,73,77,5.99,US,1723053082
358,samfya,-11.3649,29.5565,68.9,27,47,8.01,ZM,1723053085
359,wellington,-41.2866,174.7756,51.46,82,100,21.85,NZ,1723053086
360,quesada,10.3238,-84.4271,78.6,98,100,3.58,CR,1723053087
361,anna regina,7.2644,-58.5077,86.07,62,28,6.76,GY,1723053088
362,akureyri,65.6835,-18.0878,48.13,81,100,10.36,IS,1723053089
