City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,lodeynoye pole,60.726,33.5531,53.56,94,17,2.77,RU,1723163663
247,hafnarfjordur,64.0671,-21.9377,51.67,82,100,5.75,IS,1723163664
248,misratah,32.3754,15.0925,81.0,75,0,7.0,LY,1723163665
249,turabah,21.2141,41.6331,80.69,63,67,4.79,SA,1723163666
250,puerto el triunfo,13.2833,-88.55,80.11,85,100,3.27,SV,1723163668
251,tromso,69.6496,18.957,64.42,68,86,3.44,NO,1723163670
252,klaksvik,62.2266,-6.589,50.65,92,100,10.65,FO,1723163671
253,baran,25.1,76.5167,76.69,90,100,6.08,IN,1723163672
254,pangody,65.85,74.4859,50.65,65,100,12.93,RU,1723163536
255,las khorey,11.1595,48.1967,88.86,58,22,7.52,SO,1723163674
256,dimapur,25.9,93.7333,76.55,95,90,4.18,IN,1723163675
257,necochea,-38.5473,-58.7368,42.19,79,10,9.31,AR,1723163676
258,salalah,17.0151,54.0924,75.29,100,100,9.22,OM,1723163677
259,labuan,5.2767,115.2417,82.76,89,20,1.14,MY,1723163678
260,galle,6.0367,80.217,82.92,81,22,1.01,LK,1723163679
261,mamou,10.5,-12.0,69.39,99,100,2.59,GN,1723163680
262,kete krachi,7.7939,-0.0498,74.97,87,67,10.58,GH,1723163682
263,karratha,-20.7377,116.8463,75.2,34,5,7.45,AU,1723163607
264,maricopa,33.0581,-112.0476,102.6,31,75,8.05,US,1723163684
265,crane,31.3974,-102.3501,100.49,17,21,13.94,US,1723163685
266,noumea,-22.2763,166.4572,73.99,99,9,11.27,NC,1723163416
267,igarka,67.4667,86.5833,52.2,70,100,11.77,RU,1723163688
268,danielskuil,-28.1887,23.5395,45.21,30,0,19.01,ZA,1723163689
269,tosontsengel,48.7567,98.2839,59.61,57,56,3.29,MN,1723163690
270,patnagarh,20.7167,83.15,75.16,93,100,4.83,IN,1723163692
271,vicuna,-30.0319,-70.7081,61.32,19,0,4.0,CL,1723163525
272,eyl,7.9803,49.8164,78.28,62,99,20.76,SO,1723163695
273,north bend,43.4065,-124.2243,60.71,82,100,10.36,US,1723163696
274,dongola,19.1667,30.4833,91.0,46,28,10.51,SD,1723163697
275,vadso,70.0744,29.7487,46.56,81,0,5.75,NO,1723163700
276,camayenne,9.535,-13.6878,77.09,100,100,4.61,GN,1723163701
277,wajir,1.7471,40.0573,72.64,70,34,12.1,KE,1723163702
278,sitia,35.2,26.0986,78.17,58,0,13.85,GR,1723163703
279,alo,6.5486,4.2686,74.25,87,98,5.1,NG,1723163704
280,mariental,-24.6333,17.9667,49.98,21,2,10.04,NA,1723163705
281,abashiri,44.0213,144.2697,82.69,74,75,3.44,JP,1723163706
282,santa cruz,-17.8,-63.1667,56.66,82,75,10.36,BO,1723163660
283,aktau,43.65,51.2,77.94,77,0,10.89,KZ,1723163709
284,hamilton,39.1834,-84.5333,83.64,69,20,9.22,US,1723163432
285,zhumysker,49.3333,49.4,69.24,65,5,6.29,KZ,1723163711
286,fale old settlement,-9.3852,-171.2468,82.94,74,100,16.64,TK,1723163712
287,lianzhou,24.7811,112.3825,86.43,66,10,2.3,CN,1723163713
288,itaueira,-7.6033,-43.0256,79.97,35,3,8.39,BR,1723163714
289,sabang,5.8933,95.3214,82.6,73,100,2.59,ID,1723163627
290,norfolk,42.1668,-71.2495,65.19,94,100,4.61,US,1723163407
291,dalhart,36.0595,-102.5133,75.22,60,100,17.27,US,1723163717
292,ilulissat,69.2167,-51.1,42.82,93,100,0.0,GL,1723163718
293,zheleznodorozhnyy,55.7503,38.0042,59.86,84,96,5.46,RU,1723163720
294,matoury,4.8483,-52.3317,80.56,89,20,3.44,GF,1723163721
295,kerikeri,-35.2268,173.9474,60.91,75,72,3.0,NZ,1723163722
296,powell river,49.8496,-124.5361,83.84,51,20,6.91,CA,1723163724
297,taltal,-25.4,-70.4833,58.14,69,0,3.83,CL,1723163725
298,iida,35.5197,137.8207,86.04,63,7,1.21,JP,1723163726
299,aripuana,-9.1667,-60.6333,76.03,45,3,2.26,BR,1723163727
300,bosilovo,41.4406,22.7278,70.16,68,0,3.06,MK,1723163729
301,akureyri,65.6835,-18.0878,46.33,87,100,5.75,IS,1723163730
302,cromwell,41.5951,-72.6454,68.07,95,100,4.61,US,1723163706
303,rongelap,11.1635,166.8941,83.26,77,86,15.5,MH,1723163732
304,maydolong,11.4992,125.5011,86.02,66,85,2.42,PH,1723163733
305,tofol,5.3248,163.0078,83.12,75,19,9.35,FM,1723163734
306,saint-flour,45.0833,3.0,54.36,82,9,1.48,FR,1723163736
307,zouerate,22.7187,-12.4521,94.03,20,52,17.18,MR,1723163737
308,tual,-5.6667,132.75,77.36,83,56,20.98,ID,1723163738
309,tsiombe,-25.3,45.4833,65.21,75,0,4.94,MG,1723163739
310,el colomo,19.05,-104.25,83.61,82,87,6.22,MX,1723163740
311,general acha,-37.377,-64.6043,38.17,55,0,2.91,AR,1723163741
312,badger,64.8,-147.5333,69.71,64,75,10.36,US,1723163742
313,malabar,-33.9667,151.25,59.13,70,0,8.05,AU,1723163743
314,alagoinhas,-12.1356,-38.4192,68.2,96,80,2.06,BR,1723163744
315,argostolion,38.1811,20.489,80.74,36,4,3.27,GR,1723163745
316,sarangani,5.4033,125.4636,82.11,78,95,5.99,PH,1723163746
317,helong,42.5397,128.9972,82.42,48,4,3.91,CN,1723163748
318,kerema,-7.9631,145.7785,78.87,90,50,10.29,PG,1723163749
319,ghormach,35.7306,63.7826,80.15,17,0,3.85,AF,1723163751
320,serenje,-13.2325,30.2352,52.92,47,12,4.05,ZM,1723163752
321,burang,30.25,81.1667,51.13,76,100,2.57,CN,1723163753
322,sanya,18.2431,109.505,87.96,84,20,2.24,CN,1723163755
323,gondar,12.6,37.4667,57.13,93,67,1.81,ET,1723163756
324,spring creek,40.7266,-115.5859,90.72,15,7,14.34,US,1723163757
